"Logo","Nom","Secteur","Année de création","Label Date","Site web","Résumé","Founders","Courriel","Téléphone"
"undefined","OXAHOST","Business Software and services","2018","03/2020","","Oxahost est un fournisseur d'hébergement Internet et des solutions digitales et commercialise ses services en Tunisie et partout dans le monde via sa plateforme web.","Tarek Nakbi","n.a.","n.a."
"undefined","Karhabti.app","Business Software and services","2023","09/2025","","null","Amina ChouchaneAdnen Mrad","n.a.","n.a."
"undefined","Skazy Tunisia","Business Software and services","2025","03/2025","","null","Selim MhedhbiMohamed Sabri BelgarouiHatem BELLAGI","n.a.","n.a."
"undefined","Z-Partners","Business Software and services","2021","11/2021","","Une solution pour la réalisation d'états financiers prévisionnels d'une entreprise et le positionnement de ses indicateurs par rapport à ses comparables du secteur","Maher Zaanouni","maher.zaanouni@capxvalue.com","25264747"
"undefined","JURIDOC","Business Software and services","2021","11/2021","","Plateforme LegalTech destinée essentiellement aux professionnels du droit afin de leur offrir une expérience 100% digitale et intelligente pour accéder à une documentation juridique complexe.","kais AssaliMohamed Ali BelajouzaMaya BoureghdaAnis Wahabi","n.a.","n.a."
"undefined","anavid","Business Software and services","2019","12/2019","","anavid propose des solutions technologiques basées sur l'AI d'analyse vidéo pour augmenter les performances économiques du retail physique.","Ahmed ChaariDavid Nilsson","n.a.","n.a."
"undefined","ROAMSMART","Business Software and services","2012","04/2019","","Roamsmart aide les opérateurs de téléphonie mobile dans la transformation numérique de leur activité roaming a travers des solutions SaaS innovantes.","Walid ChamekhMehdi Triki","n.a.","n.a."
"undefined","Beego","Business Software and services","2017","01/2020","","Beego propose une plateforme web et mobile de mise en relation en TEMPS RÉEL entre les espaces commerciaux et leurs clients, ainsi que les administrations publiques via-des capteurs installés dans les espaces à cette fin.","Amine Sammary","n.a.","n.a."
"undefined","TMAPS","Business Software and services","2025","11/2025","","TMaps est une API cartographique tunisienne conçue comme une alternative locale et économique à Google Maps, permettant de réduire les coûts jusqu'à 92%. Elle offre trois services principaux : l'affichage de cartes personnalisables, le géocodage (conversion d'adresses en coordonnées et vice-versa) et le calcul d'itinéraires et de distances. La plateforme s'intègre facilement avec les frameworks les plus populaires (React, Vue.js, Angular, Flutter, etc.) via une clé API simple à configurer. Pensée pour les développeurs et entreprises tunisiennes, elle permet notamment de payer en dinar tunisien et garantit une couverture locale inégalée du territoire. TMaps cible des secteurs variés comme la livraison, la logistique et l'immobilier, avec une disponibilité de 100% et un support 24/7.","Ahmed Ben Salha","contact@tmaps.tn","+21655798888"
"undefined","Digital2Value","Business Software and services","2019","02/2020","","Digital2Value is a platform accelerating digital transformation of SMEs by connecting them with full ecosystem of consultants, development organizations and digital solutions.","Foued ManaaAmel SaidaneNadim Kharraz","n.a.","n.a."
"undefined","officent","Business Software and services","2024","07/2024","","null","saif eddine borgholkamel Ben anayaAsma MethamemSoulayma Dhiab","n.a.","n.a."
"undefined","Gigsdesk","Business Software and services","2022","06/2023","","Gigsdesk, le produit phare de la société LGGU, est une plateforme de freelance utilisant l'IA en matching. Trouvez les projets idéaux qui correspondent à vos compétences grâce à cette innovation de pointe. Boostez votre carrière freelance avec Gigsdesk dès aujourd'hui !","Koussay NoomeneIyed GhribiNabil Amara","contact@gigsdesk.com","+21690771900"
"undefined","Mon Ingénieur Express","Business Software and services","2022","12/2022","","Mon Ingénieur Express est une plateforme de recrutement d'ingénieurs en télétravail, qui associe l'expertise métier aux nouvelles technologies. Elle permet de RECRUTER DES INGÉNIEURS À DISTANCE de façon très  simple. ET À DES TARIFS 50% MOINS ÉLEVÉS QU’EN Europe.","Mohamed Moatez JendoubiFrederic Delahaigue","med.moatez.benmedien@gmail.com","58133669"
"undefined","Siteflow Factory","Business Software and services","2019","06/2019","","SiteFlow est une solution SaaS qui digitalise la préparation et le suivi d'intervention sur les chantiers de construction et de maintenance industrielle complexes.","Samed JaloualiTimothe PietteEtienne BarraultLouis Hauvette","n.a.","n.a."
"undefined","Chantier","Business Software and services","2018","01/2020","","Chantier.tn est un service de mise en relation entre les professionnels du bâtiment et les particuliers ou entreprises ayant besoin d'un professionnel du bâtiment.","Moufid BEN HMIDAShady Achouri","n.a.","n.a."
"undefined","Tunisia Market","Business Software and services","2022","04/2022","","Tunisia-Market est un site de vente en ligne, spécialiste des articles tunisiens de très haute qualité. Tous les articles artisanaux, mis en vente sur www.Tunisia-Market.com, sont faits à la main selon des méthodes ancestrales et innovatrices qui reflètent un patrimoine riche et varié selon les régions. Nos produits sont authentiques et 100 % Tunisiens. Nos produits sont à votre disposition pour vivre l’expérience tunisienne là ou que vous soyez. Restez tunisiens consommez Tunisia-Market.","Ibrahim ChouikhAbdelfattah LahbibAbdelhamid GuinoubiAhmed EttoumiLaila Balti","contact@tunisia-market.com","+216 56 208 595"
"undefined","Consulti","Business Software and services","2019","03/2020","","Consulti.Tn est une plateforme web & mobile de mise en relation B2B et facilitation de vente et d'achat d’équipements /services industriels en Tunisie.","Ala Eddine Jalel","n.a.","n.a."
"undefined","ECHO","Business Software and services","2018","06/2019","","ECHO innove dans le domaine digital autour d'une plateforme en ligne garantissant le dessin et certification des aménagements cabines des avions.","Amine Laaroussi","n.a.","n.a."
"undefined","lexi","Business Software and services","2020","01/2022","","lexi.tn est une application web destinée aux auto-écoles pour la gestion de leurs tâches quotidiennes. La plateforme offre aux candidats une solution d'e-learning.","Wael Ben Echikhchadli Ouhichi","n.a.","n.a."
"undefined","Thiqab","Business Software and services","2023","08/2023","","Notre projet est spécialisé dans le développement de stratégies de trading automatisées et d'algorithmes d'apprentissage automatique pour les investisseurs. Nos algorithmes de trading proposent de nouvelles fonctionnalités d'intelligence artificielle afin de concevoir et analyser les données du marché. Nos algorithmes d'apprentissage automatique offrent des outils pour effectuer des transactions basées sur des règles prédéfinies et fournir à nos clients des résultats efficaces et précis.","Kaouther HedhlyHatem Zegnani","n.a.","n.a."
"undefined","Ticketchainer","Business Software and services","2020","08/2021","","Ticketchainer ciblant les clubs et événements sportifs avec une solution 100% cloud qui couple billetterie et fidélisation via un système de gamification intégré au parcours d’achat.","Sami BoudenWalid KarrayObeyd Melliti","n.a.","n.a."
"undefined","Talifouni+","Business Software and services","2025","10/2025","","null","Baha Kaabaoui","n.a.","n.a."
"undefined","BSmart SARL","Business Software and services","2018","03/2020","","Bsmart SARL: Automatisation des processus métiers d'entreprise autour de la digitalisation des documents et pièces comptables comme les factures et les commandes","Walid AmmarAhmed Fessi","n.a.","n.a."
"undefined","CYNOIA","Business Software and services","2019","01/2020","","CYNOIA est une plate-forme CPaaS qui fournit un ensemble d'outils destinés aux PMEs dans le cadre de l'amélioration de la communication interne et externe.","Ayoub RabehNassreddine Riahi","n.a.","n.a."
"undefined","Réseau social medical : Saheelha","Business Software and services","2019","09/2019","","Saheelha est un réseau sociale médicale qui permet d’offrir certains services pour les médecins et les patients .","Abidi Marwen","n.a.","n.a."
"undefined","SOLIXY","Business Software and services","2017","12/2019","","Qui dit SOLIXY dit un magasin intelligent. Nous développons des solutions innovantes basées sur l'Intelligence Artificielle et destinées au secteur du retail.","Haythem KhalifaSalem KhalifaBéchir Yahia","n.a.","n.a."
"undefined","Winshot","Business Software and services","2019","10/2019","","Gofield propose via sa solution ""Winshot"" une application web et mobile qui automatise et externalise le merchandising terrain et fourni en temps-réel des analytiques mix marketing pour une exécution optimisée des articles référencées en points de vente.","Walid MzoughiHela GabsiAlaa Mokrani","n.a.","n.a."
"undefined","Neopolis Development","Business Software and services","2018","06/2019","","Développe en offshore et Edition de solutions de digitalisation et de robotisation destinés au secteur des assurances et banques.","Achraf KhelilJacquesYves Foucou","n.a.","n.a."
"undefined","Ernest","Business Software and services","2020","05/2020","","Edition de solutions intelligentes autour de la compliance et le pilotage social des entreprises.","Fayçal Derouiche","n.a.","n.a."
"undefined","Galactech","Business Software and services","2016","05/2019","","Galactech offre aux opérateurs de téléphonie mobile une variété de services à valeur ajoutée de haute qualité et un contenu riche et varié.","Houcem Maiza","n.a.","n.a."
"undefined","xscan","Business Software and services","2024","04/2024","","null","houssem eddine rammehOussama Ben WahibaAbderrahim Gdah","n.a.","n.a."
"undefined","MajestEYE","Business Software and services","2017","06/2019","","MajestEYE est un éditeur de solutions d'analyse de données dont la mission est de permettre à ses clients de réussir la transition vers un modèle opérationnel et d'affaires basés sur les données.","Jihed HannachiRabie Saidi","n.a.","n.a."
"undefined","Bitaqa","Business Software and services","2022","12/2022","","Bitaqa est une start-up novatrice qui cherche à révolutionner le monde des cartes de visite et du networking professionnel grâce à sa technologie NFC de pointe. 
 
 Notre mission est de faciliter les échanges professionnels tout en minimisant l'impact environnemental.
 Notre produit phare est notre carte de visite NFC, qui permet aux utilisateurs de partager des informations professionnelles, des informations de contact et bien plus encore avec d'autres personnes d'un simple geste.
 
 Notre vision pour l'avenir est de réinventer le networking professionnel en fournissant des solutions technologiques innovantes et durables.","Amine Miladi","contact@bitaqa.tn","21707614"
"undefined","Exacctly","Business Software and services","2020","06/2020","","DataSphera développe des produits et des solutions NLP et IA d'entreprise pour l'analyse en temps réel des conversations échangées avec les clients.","Noureddine LoukiAchref Kechaou","n.a.","n.a."
"undefined","Grabingo","Business Software and services","2019","01/2020","","Grabingo est une plateforme d'acquisition, d'engagement et rétention des clients","Mohamed Khalloufi","n.a.","n.a."
"undefined","LEEVYA Communication","Business Software and services","2021","06/2021","","Une solution de communication unifiée Ucaas (Unified Communications as a Service) qui s'interface avec les différents CRM (Sales forces, Ms Dynamics), ERP, et d'autres solutions métiers optimisant ainsi les coûts d'exploitation des IPBX(Internet Protocol Private Branch eXchange).","Wissem BouguilaLoïc Lafhej","n.a.","n.a."
"undefined","Dataperformers","Business Software and services","2019","09/2019","","Dataperformers est une entreprise d’intelligence artificielle appliquée ayant comme spécialité l’analyse prédictive et la vision numérique (computer vision).","Mehdi Merai","n.a.","n.a."
"undefined","Leadership 4.0","Business Software and services","2023","12/2023","","‘‘Communiquer & Vendre la Valeur, Concevoir & Créer la Valeur, Délivrer & Mettre en œuvre les solutions digitales de  « Leadership 4.0 » en mode Saas ’’ ; 
  Une feuille de route pour la bonne gouvernance digitale de l’excellence stratégique, tactique  & opérationnelle en conformité avec les meilleures pratiques internationales reconnues (TQM, ISO, IATF, PMI, EFQM, Core Tools AIAG, VDA (APQP, FMEA, MSA, SPC, PPAP), IFRS, PDCA, DMAIC, A3, 8D)","Faouzi GHARSALLIkhaled GHARSALLI","faouzi.gharsalli.tn@gmail.com","58947407"
"undefined","Ste Tildah","Business Software and services","2018","05/2021","","Majenna est une application de caisse enregistreuse connecté, qui permet à toute l'équipe d'une enseigne constituée d'une ou plusieurs boutiques d'avoir les données synchronisées en temps réel.","Bouraoui Ben Ammar","n.a.","n.a."
"undefined","Speedy ERP","Business Software and services","2024","09/2024","","Speedy ERP propose une solution complète de gestion d'entreprise spécialement conçue pour les grossistes, englobant les domaines de la finance, des ventes et de l'inventaire.","KAIS CHEHUMA","n.a.","n.a."
"undefined","TransIN / SmartIN","Business Software and services","2018","08/2019","","SmartIN est une AssurTech qui propose des solutions innovantes pour l’enrichissement et l’amélioration des services dans le secteur des assurances.","Wahid Mnasri","n.a.","n.a."
"undefined","profils.tn","Business Software and services","2019","12/2019","","Profils.tn est une plateforme RH innovante qui remplace la lecture de CV traditionnel par une compréhension algorithmique via l’outil ‘Matching’. La plateforme permet de digitaliser le processus de recrutement et de booster la marque employeur","Anis Maghar                              Imen Maghar","n.a.","n.a."
"undefined","RSE Time","Business Software and services","2023","01/2024","","RSE Time est la première plateforme en Tunisie qui digitalise et centralise toutes les activités RSE des entreprises en les mettant en relation avec les associations travaillant sur  les mêmes axes tout en impliquant leurs collaborateurs. Grâce à RSE Time, les Entreprises peuvent mesurer leur impact.","Rym Bendhief AkremiMohamed Hbib Ben AkremiMohamed Aziz Ben Akremi","contact@rsetime.com","95384858"
"undefined","Servini","Business Software and services","2022","05/2023","","une application de prise de commande sur tables pour les restaurants,hotels,café, bars ainsi que réservation","Ramzi HachichaMohamed Achraf JomaaZied HachichaDhia eddine Abdelli","n.a.","n.a."
"undefined","KB2I","Business Software and services","2015","11/2020","","KB2I propose des systèmes d'aide à la décision qui améliore la performance des entreprises. Avec sa solution Sense Analytics ,composée de hardware (des capteurs) et de logiciel (une plateforme décisionnelle), elle permet l'optimisation de la gestion d'un point de vente physique.","Zina DouarBrahim Douar","n.a.","n.a."
"undefined","AIO Events","Business Software and services","2024","11/2024","","null","Iyed Ben MassoudOussama ErrifiDerouich AymenAli Baroudi","n.a.","n.a."
"undefined","Cooptatio","Business Software and services","2021","10/2021","","Une plateforme de recrutement par cooptation qui offre une solution pour les entreprises accessibles en mode SaaS.","Mohamed Ali BriniHayfa Ben Mohamed","n.a.","n.a."
"undefined","ZOLFA","Business Software and services","2020","04/2020","","ZOLFA Electronics conçoit et réalise des systèmes électroniques et automatiques divers, et notamment des appareils électroniques programmable directement avec un langage de programmation arabe, en bas et haut niveau.","JRIDI Adel","omegatec@planet.tn","50333141"
"undefined","Civitas","Business Software and services","2021","03/2021","","Rokhsti est une application de demande, de gestion, de suivi et d’attribution de permis de bâtir. Rokhsti digitalise tout le processus et permet de gérer les feedbacks réguliers et différents échanges entre: L’architecte qui soumet le dossier, la municipalité qui gère et attribue le permis de bâtir et le citoyen demandeur du permis.","Bechir GtariFiras GaffariHoussem Akrout","n.a.","n.a."
"undefined","Pulpetech","Business Software and services","2018","02/2021","","PulpeTech est une solution SAAS qui gère la collecte des retours clients et les mets en avant pour améliorer la SEO des sites marchands.","Wafa AbbesOussama Jrad","n.a.","n.a."
"undefined","United VITO","Business Software and services","2023","12/2023","","Une plate-forme publicitaire sur laquelle vous pouvez faire de la publicité aux meilleurs tarifs auprès d'utilisateurs de haute qualité.","Nizar Affi","n.a.","n.a."
"undefined","CargoWeen","Business Software and services","2022","10/2022","","null","Terres Aberraoufterres yasmineDhia El Hak MERAI","n.a.","n.a."
"undefined","NG Technologies","Business Software and services","2016","11/2020","","Ng technologies et un éditeur de solutions de services de confiance numérique (signature électronique, authentification forte, PKI ...).","Moez Ben MbarkaMohamed Ali TarhounKhadija Ferjani","n.a.","n.a."
"undefined","Creometry","Business Software and services","2021","03/2021","","Creometry est une plateforme d'hébergement en cloud pour les applications container-based. Elle vise à faciliter l'accès aux services informatiques pour les développeurs et les startups.","Mounir GhlaielAymen El Amri","n.a.","n.a."
"undefined","DeepAI","Business Software and services","2023","06/2023","","DeepAI est une startup spécialisée dans le développement de solutions d'intelligence artificielle avancées. Nous nous concentrons sur des domaines clés tels que la recherche sémantique, la génération de contenu par IA et le développement de modèles de langage LLM.","Seifedine GuizeniJihène Ben Slimene","seifeur@gmail.com","+21621247353"
"undefined","RGPD Tunisie","Business Software and services","2023","07/2023","","RGPD Tunisie est une startup spécialisée dans la legaltech, proposant une approche digitalisée pour un diagnostic rapide et fiable de la conformité en matière de protection des données personnelles. Elle offre des services d'audit de conformité et d'évaluation des risques, ainsi que des mesures de régularisation et d'accompagnement pour aider les entreprises à gérer efficacement leurs obligations juridiques et à renforcer la confiance des clients dans la protection de leurs données.","wissal douissaRayen CHERNISlim ABDELJELIL","contact@rgpd-tunisie.tn","(+216) 73 204 870"
"undefined","Deepnrise","Business Software and services","2022","06/2023","","null","Abdelkader BoussettaYoussef MEDDEBNIZAR AYADI","n.a.","n.a."
"undefined","Expy.ai","Business Software and services","2023","08/2023","","null","Slim NabliLuay BEN ALI","n.a.","n.a."
"undefined","HackUp","Business Software and services","2020","10/2020","","Plateforme de validation de compétences et de mise en relation entre l’entreprise et le développeur à travers un matching automatique en s'appuyant sur des tests techniques en ligne et en organisant des hackathons.","Ghanmi AyhemMohamed Aziz Najjar","n.a.","n.a."
"undefined","Drest.tn","Business Software and services","2021","03/2021","","Drest est une Marketplace multimarques destiné au marché du prêt à porter Femme, Homme et enfants.","Mohamed Omrane MzabiMalek Mzabi","n.a.","n.a."
"undefined","Services voitures épaves (SVE)","Business Software and services","2020","12/2020","","Services Voitures Epaves permet de digitaliser et faciliter les transactions entre les assurances, les épavistes et les experts automobiles dans le domaine des voitures épaves.","Farah M'seddiSlim M'seddiJalel SATOURI","n.a.","n.a."
"undefined","WONDER WORK","Business Software and services","2020","12/2020","","WONDER WORK propose des solutions de marketing innovantes et des réductions exceptionnelles chez tous ses partenaires nationaux et internationaux à travers des cartes privilèges.","Yamina Rachdi","n.a.","n.a."
"undefined","Digital work solutions","Business Software and services","2022","10/2022","","Le projet consiste à développer des applications informatiques innovantes dédiées au secteur de l’industrie et des services liés au secteur.","Amani BouazizYousser Sabbagh","n.a.","n.a."
"undefined","Business Computer Services","Business Software and services","2019","01/2022","","Business Computer Services offre un progiciel intégré pour la gestion des écoles, universités, instituts et centres de formation.","Tarek DebaraAissa BoulilaIssam Ghdiri","n.a.","n.a."
"undefined","Replic-A","Business Software and services","2022","03/2023","","Replic-A est une plateforme innovante de fort développement technologique désignée spécifiquement pour l'industrie de la construction, la plateforme Replic-A permet :
 - La visualisation et la centralisation des plans 3 Ds (relatif à un projet de construction) en temps réel.
 - L'insertion des commentaires sur le plan 3D en lui-même.
 - L'assignation des tâches à ses collaborateurs.
 - La détection des anomalies de conception avant de passer à la construction.","Mejdi BOUAFIFWissem JERBISonia Issaad","mail@replic-a.com","24757444"
"undefined","Chosa","Business Software and services","2021","12/2021","","CHOSA est une plateforme qui permet au parent de suivre la journée de leur enfant et de réagir à temps et en outre aux parents de communiquer plus aisément avec les animatrices ou directeurs grâce au réseau social dédié.","Walid Mansia","n.a.","n.a."
"undefined","GLOLIX TUNISIA","Business Software and services","2019","02/2020","","Production de data, outils et services pour entraîner des applications d’intelligence artificielle.","Mourad Othman","n.a.","n.a."
"undefined","Compaktor","Business Software and services","2020","08/2021","","Compaktor (COMmercial-PACK) est une e-Solution complète de gestion commerciale dédiée aux PME. Un pack de modules SAAS (Gestion du Stock, Gestion des Achats et Ventes, Gestion de la Trésorerie, Gestion des Utilisateurs et droits d'accès, Statistiques, e-boutique,etc..)","Mohamed Amine OmraniAli Mansour","n.a.","n.a."
"undefined","Buzzbip","Business Software and services","2024","11/2024","","null","Mhamed Ali Ben MahmoudWalid Tanazefti","n.a.","n.a."
"undefined","Tiktak PRO","Business Software and services","2021","10/2021","","Welinco propose Tiktak PRO une plateforme qui permet la création de boutique en ligne, grâce à laquelle l’utilisateur peut vendre ses produits sur le marché.","Zied Bouhejba","n.a.","n.a."
"undefined","CONTYFIND","Business Software and services","2023","04/2023","","CONTYFIND est une startup de pointe spécialisée dans la digitalisation des processus logistiques et de transport. Nous proposons des applications web et mobiles qui révolutionnent la façon dont les entreprises gèrent leurs processus logistiques. Notre solution innovante comprend une check-list numérique qui garantit l'état apparent de chaque unité tout au long de la chaîne logistique globale.
 
 Notre application permet aux entreprises d'accéder aux listes de contrôle en temps réel, en fournissant des actualités immédiates sur l'état de chaque unité. Cette fonctionnalité permet aux entreprises d'identifier et de gérer tout problème et de prendre rapidement des mesures adéquates.
 
 Nous croyons que le temps, c'est de l'argent. C'est pourquoi notre solution est conçue pour être efficace et conviviale, permettant aux entreprises de centraliser leurs documents et de rationaliser leur flux de travail. En numérisant l'exécution des rapports d'inspection et autres documents, nous aidons les entreprises à gagner du temps, à réduire les coûts et à éliminer la nécessité d'une paperasserie encombrante.
 
 Notre équipe d'experts s'attache à comprendre les besoins uniques de chaque entreprise avec laquelle nous travaillons et à fournir une solution qui réponde à leurs exigences spécifiques. Avec CONTYFIND, les entreprises peuvent prendre le contrôle de leurs opérations logistiques et atteindre leurs objectifs plus rapidement et plus efficacement que jamais.","Aymen SarrajMaan mrabetHassen Tahri","contact@contyfind.com","+216 24 143 362"
"undefined","Myflix","Business Software and services","2021","12/2021","","MYFLIX est une plateforme web « VOD » de stockage, d’affichage et de gestion de data vidéo à la demande dédiée à des organismes et entreprises.","Haythem DridiImen Ben FradjInès BourgouSaber Ben Khaled","n.a.","n.a."
"undefined","Wimbee","Business Software and services","2021","08/2021","","Wimbee Product est une plateforme qui permet de relever les défis des industries via une innovation technologique majeure dans la Data. Aller au-delà des analyses classiques et créer une dynamique collaborative autour des indicateurs de performance. Partager de manière intuitive et naturelle les informations, avec la contribution des concernée pour gérer des plans d'actions, les suivre et de les historiser.","Neila Benzina","n.a.","n.a."
"undefined","NACHD-IT","Business Software and services","2017","09/2019","","Plugin (NACHD-UMS : NACHD University Management System) qui sert à mettre en place rapidement des plateformes universitaires avec synchronisation automatique des services avec les ERP","Ahmed Ben HssounaNourhane Amara","n.a.","n.a."
"undefined","EDATA Warehouse","Business Software and services","2022","01/2023","","EDATA créée une réplique des données de l'ERP sur le cloud  en les enrichissant par des champs additionnels  et en y aggrégant les données issues de la mobilité et celles d'un site marchand Prestashop.  Une API permet d'interagir avec toutes ces données pour développer tout type d'application orientées métiers.","Kamel ChahedFakhri Jemail","infos@data-warehouse.com","+21620517182"
"undefined","istishara","Business Software and services","2021","12/2021","","Istishara est une application mobile de consultation directe a voix vive à tout moment dans les domaines juridique, fiscal, et affaires.","Atef Azizi","n.a.","n.a."
"undefined","Data For Brands","Business Software and services","2022","02/2022","","Data for Brands est une plateforme qui se base sur l’Intelligence Artificielle et le Machine Learning afin de générer des rapports analytiques, qui décrivent l’activité et la réputation digitale des marques ayant une présence en ligne.","Idris Bachali IosadaAbir Chérif","n.a.","n.a."
"undefined","Supremcloud","Business Software and services","2021","09/2021","","Supremcloud Technologies est une plateforme permettant l'exploitation de ressources peer-to-peer en cloud pour les data scientists, ingénieurs et Startups pour les besoins en développement de solution en machine learning ou des analyses big data.","Khaireddine Mejri","n.a.","n.a."
"undefined","DOMODAR","Business Software and services","2016","05/2019","","Domodar est spécialisée dans le développement, conception et fabrication de solutions complètes pour la domotique sans fil et le Smart Farming.","Rochdi ZaghdaneWalid Dhifallah","n.a.","n.a."
"undefined","Tinith","Business Software and services","2020","02/2021","","Tinith permet aux dirigeants et/ou aux entrepreneurs, d’automatiser des processus via une solution low code avec un déploiement rapide et un ROI important sur une courte durée","Ouassim BouzidRamzi Abidi","n.a.","n.a."
"undefined","SmartQ","Business Software and services","2021","03/2021","","SmartQ est un système de gestion des files d'attente (QMS) basé sur le cloud qui permet aux entreprises confrontées à des problèmes de gestion des files d'attente de mieux gérer le flux de leurs clients. Il permet aux personnes de rejoindre une file d'attente à distance, de n'importe où et à tout moment.","Ramzi Zelfani","n.a.","n.a."
"undefined","Smart Mobility","Business Software and services","2014","05/2019","","Nous développons des solutions répondant aux besoins des entreprises dans la gestion de la mobilité de leur personnel.","Mokhles Masmoudi","n.a.","n.a."
"undefined","InstaDeep","Business Software and services","2014","06/2019","","InstaDeep propose des solutions IA pour l'entreprise et des produits IA d'aide à la décision pour plusieurs secteurs tels que la logistique et la mobilité.","Karim BeguirZohra Slim","n.a.","n.a."
"undefined","Datagram","Business Software and services","2020","12/2020","","Datagram est une plateforme de retail analytics permet aux industriels d’accélérer plus vite que leurs concurrence grâce à la puissance des insights et recommandations opérationnelles.","Mohamed Ali Ben Aleya","n.a.","n.a."
"undefined","Next Gen Solution / UnFrauded","Business Software and services","2019","02/2020","","“UnFrauded” est une solution logicielle, dédiée aux compagnies d'assurance automobile, qui permet d'accélérer et digitaliser l'évaluation des dossiers sinistres ainsi qu'une détection de fraudes.","Taha CabaniKamilia NailiNader SomraniAbderahmen JlassiMehdi Choura","n.a.","n.a."
"undefined","TechAccessibility","Business Software and services","2015","05/2019","","TechAccessibility est spécialisée dans la création de solutions informatiques innovantes pour tous.","Nour Ben Yahia","n.a.","n.a."
"undefined","Menutium","Business Software and services","2017","02/2021","","Menutium est un ensemble de services d'abonnement disponible en ligne qui permet aux petits et moyens commerçants de mettre en vente leurs produits en quelques minutes de manière simple sans aucun requis préalable","Salem Mosbah Amine MLIKA","n.a.","n.a."
"undefined","JPARTNERS TUNISIE","Business Software and services","2019","09/2021","","JPARTNERS TUNISIE est specialiste dans le developpement des solutions mobiles orientées aux supply chain","ZIED JBALI","n.a.","n.a."
"undefined","Vital Tools","Business Software and services","2021","08/2021","","Vital Tools est une plateforme de gestion du travail collaboratif basé sur le cloud, pour gérer le travail inter-fonctionnel à grande échelle dans un environnement de ""single-source of truth"".","Yassine BouchouchaAli Babbou","yassine.bouchoucha@vitaltools.tn","+21623096879"
"undefined","SWIVER","Business Software and services","2018","06/2019","","Swiver est un ERP en mode SAS destiné aux TPE et PME pour digitaliser leur process de gestion financière","Azzam SouelmiaACHRAF NOOMAN","n.a.","n.a."
"undefined","Click and win","Business Software and services","2021","11/2021","","isondf est un fournisseur de donnes avec une plateforme de sondage rémunère qui permet de créer des études marketing.","firas yousfiabdessalem bazinemaalawi mehdi","n.a.","n.a."
"undefined","Smart City","Business Software and services","2020","12/2020","","Une plate-forme destinée aux villes et aux petites communautés, où elle crée un centre de communication entre le propriétaire du service ou du produit et la population des villes avec un guide complet de ville qui cherche à construire une ville virtuelle parallèle, synchronisée et intégrée avec la réalité.","ali boukhachem","n.a.","n.a."
"undefined","LKESSA","Business Software and services","2025","11/2025","","null","Chahine FERSINour SaiedFahmy Abdslem Fersi","n.a.","n.a."
"undefined","PROSERVY","Business Software and services","2019","12/2020","","Proservy est une solution qui permet aux entreprises de digitaliser et automatiser le métier de l'office management à travers une plateforme digitale dédiée.","Ahmed DridiWassim JouiniMohamed Elyes Ksontini","n.a.","n.a."
"undefined","Makerfy","Business Software and services","2018","11/2021","","Makerfy est une plateforme SaaS destiné aux Pme, permettant de créer un e-commerce/ service en 30 minutes.","Hani Hamrounidavid di majo","n.a.","n.a."
"undefined","Contratou","Business Software and services","2020","08/2022","","Contratou est une plateforme conçue pour aider les entreprises et les particuliers dans les différentes opérations et démarches juridiques en leurs proposant un système intelligent de génération de documents juridiques.
 
 Elle permet de générer des documents légaux de grande qualité, à un bas coût en quelques clicks.","Walid NouniKais FerchiouOmar Ferchiou","n.a.","n.a."
"undefined","Minima.ai","Business Software and services","2019","12/2019","","Minima.ai Une plateforme d'Automatic Machine Learning (AutoMl) destinée aux PME qui n'ont pas les moyens pour investir dans l'AI.","Houssem Eddine M'rad","n.a.","n.a."
"undefined","Digihunt","Business Software and services","2022","11/2022","","Notre portail met en relation les chercheurs d'emploi en IT et les entreprises cherchant des profils IT. Les offres d’emploi postés par les entreprises sont associés à des tests techniques et des tests psychométriques, ainsi l'entreprise réduit considérablement les risques d'échec de recrutement et on réduit le risque de perte de temps et d’argent.","Ahmed Ismail AzzabiWahiba Ben Fredj","azzabiahmed@digihunt.net","99081081"
"undefined","FranchiseLab","Business Software and services","2022","11/2022","","FranchiseLab est le “Guichet Unique Digital” pour le développement des enseignes en réseau
 utilisant l'intelligence artificielle pour le staffing en ligne de professionnels, le sourcing et le
 financement des affiliés.","Mohamed Amin KallelAymen FerianiWissem Ben AliAmine Hariz","contact@franchiselab.net","58400450 / 98301434"
"undefined","Scaylab","Business Software and services","2022","09/2023","","Scaylab est une plateforme dédiée aux startups en early stage pour offrir une expérience unique, aller plus vite et stimuler leur croissance","Taher Siala","taher@scaylab.fr","0640910112"
"undefined","REC-INov","Business Software and services","2021","03/2021","","REC-INOV est une plateforme de recrutement avec la certification des compétences des profils et matching avec les offres d'emploi à travers un entretien avec Visio sur la plateforme et signature éléctronique.","Hanene MoallaJamila KhlifWajdi Moalla","n.a.","n.a."
"undefined","AvoConsulte","Business Software and services","2022","04/2022","","Avoconsult est une plateforme simple et rapide pour prendre rendez-vous avec un avocat disponible près de chez vous depuis l'annuaire des avocats pour répondre à vos besoins","Alaa Edinee Ben Mbarek","n.a.","n.a."
"undefined","DEFENDR","Business Software and services","2025","09/2025","","null","Mottaki HajouniSeifeddine BahrounWael yahiaoui","n.a.","n.a."
